timestamp,date,time,source,object_names,area_info,image_path
2026-04-11T14:55:53.521108,2026-04-11,14:55:53,webcam,person,[1],output/anomaly\alert_20260411_145553_5145.jpg
2026-04-11T14:56:08.285707,2026-04-11,14:56:08,webcam,person,[0],output/anomaly\alert_20260411_145608_2802.jpg
2026-04-11T14:56:13.499371,2026-04-11,14:56:13,webcam,person,[0],output/anomaly\alert_20260411_145613_4944.jpg
2026-04-11T14:56:18.236849,2026-04-11,14:56:18,webcam,person,[0],output/anomaly\alert_20260411_145618_2323.jpg
2026-04-11T14:56:27.617592,2026-04-11,14:56:27,webcam,person,[1],output/anomaly\alert_20260411_145627_6121.jpg
2026-04-11T14:56:30.783959,2026-04-11,14:56:30,webcam,person,[1],output/anomaly\alert_20260411_145630_7786.jpg
2026-04-11T14:56:34.560667,2026-04-11,14:56:34,webcam,person,[1],output/anomaly\alert_20260411_145634_5522.jpg
2026-04-11T14:56:42.247442,2026-04-11,14:56:42,webcam,person,[1],output/anomaly\alert_20260411_145642_2402.jpg
2026-04-11T14:56:47.971873,2026-04-11,14:56:47,webcam,person,[0],output/anomaly\alert_20260411_145647_9668.jpg
2026-04-11T14:56:50.975591,2026-04-11,14:56:50,webcam,person,[0],output/anomaly\alert_20260411_145650_9705.jpg
2026-04-11T14:56:54.055673,2026-04-11,14:56:54,webcam,person,[0],output/anomaly\alert_20260411_145654_0511.jpg
2026-04-11T14:56:57.181838,2026-04-11,14:56:57,webcam,person,[0],output/anomaly\alert_20260411_145657_1768.jpg
2026-04-11T14:57:00.258551,2026-04-11,14:57:00,webcam,person,[0],output/anomaly\alert_20260411_145700_2524.jpg
2026-06-07T14:38:51.065523,2026-06-07,14:38:51,webcam,person,[0],output/anomaly\alert_20260607_143851_0588.jpg
2026-06-07T14:38:54.138730,2026-06-07,14:38:54,webcam,person,[0],output/anomaly\alert_20260607_143854_1323.jpg
2026-06-07T14:38:58.116487,2026-06-07,14:38:58,webcam,person,[0],output/anomaly\alert_20260607_143858_1115.jpg
2026-06-07T14:39:01.539711,2026-06-07,14:39:01,webcam,person,[0],output/anomaly\alert_20260607_143901_5331.jpg
2026-06-07T14:39:05.775421,2026-06-07,14:39:05,webcam,person,[0],output/anomaly\alert_20260607_143905_7687.jpg
2026-06-07T14:39:08.800644,2026-06-07,14:39:08,webcam,person,[0],output/anomaly\alert_20260607_143908_7937.jpg
2026-06-07T14:39:11.914553,2026-06-07,14:39:11,webcam,person,[0],output/anomaly\alert_20260607_143911_9092.jpg
2026-06-07T14:39:14.977785,2026-06-07,14:39:14,webcam,person,[0],output/anomaly\alert_20260607_143914_9728.jpg
2026-06-07T14:39:18.041535,2026-06-07,14:39:18,webcam,person,[0],output/anomaly\alert_20260607_143918_0353.jpg
2026-06-07T14:39:57.465655,2026-06-07,14:39:57,webcam,car,[0],output/anomaly\alert_20260607_143957_4586.jpg
2026-06-07T14:40:02.461523,2026-06-07,14:40:02,webcam,car,[0],output/anomaly\alert_20260607_144002_4562.jpg
2026-06-07T14:40:05.858014,2026-06-07,14:40:05,webcam,bus,[0],output/anomaly\alert_20260607_144005_8449.jpg
2026-06-07T14:40:08.886356,2026-06-07,14:40:08,webcam,car,[0],output/anomaly\alert_20260607_144008_8798.jpg
2026-06-07T20:46:48.498337,2026-06-07,20:46:48,webcam,person,[0],output/anomaly\alert_20260607_204648_4925.jpg
2026-06-07T20:46:51.587179,2026-06-07,20:46:51,webcam,person,[0],output/anomaly\alert_20260607_204651_5301.jpg
2026-06-07T20:46:54.633389,2026-06-07,20:46:54,webcam,person,[0],output/anomaly\alert_20260607_204654_6270.jpg
2026-06-07T20:46:57.755710,2026-06-07,20:46:57,webcam,person,[0],output/anomaly\alert_20260607_204657_7508.jpg
2026-06-07T20:47:01.197266,2026-06-07,20:47:01,webcam,person,[0],output/anomaly\alert_20260607_204701_1924.jpg
2026-06-07T20:47:04.320755,2026-06-07,20:47:04,webcam,person,[0],output/anomaly\alert_20260607_204704_3159.jpg
2026-06-07T20:47:07.458025,2026-06-07,20:47:07,webcam,person,[0],output/anomaly\alert_20260607_204707_4532.jpg
2026-06-07T20:47:10.618329,2026-06-07,20:47:10,webcam,person,[0],output/anomaly\alert_20260607_204710_6133.jpg
2026-06-07T20:47:13.629795,2026-06-07,20:47:13,webcam,person,[0],output/anomaly\alert_20260607_204713_6249.jpg
2026-06-07T20:47:16.697618,2026-06-07,20:47:16,webcam,person,[0],output/anomaly\alert_20260607_204716_6928.jpg
2026-06-07T20:47:19.800375,2026-06-07,20:47:19,webcam,person,[0],output/anomaly\alert_20260607_204719_7929.jpg
2026-06-07T20:47:22.870504,2026-06-07,20:47:22,webcam,person,[0],output/anomaly\alert_20260607_204722_8656.jpg
2026-06-07T20:47:26.054981,2026-06-07,20:47:26,webcam,person,[0],output/anomaly\alert_20260607_204726_0498.jpg
2026-06-07T20:47:29.100177,2026-06-07,20:47:29,webcam,person,[0],output/anomaly\alert_20260607_204729_0941.jpg
2026-06-07T20:55:49.983062,2026-06-07,20:55:49,webcam,person,[1],output/anomaly\alert_20260607_205549_9780.jpg
2026-06-07T20:55:53.430333,2026-06-07,20:55:53,webcam,person,[1],output/anomaly\alert_20260607_205553_4265.jpg
2026-06-07T20:55:56.609125,2026-06-07,20:55:56,webcam,person,[1],output/anomaly\alert_20260607_205556_6061.jpg
2026-06-07T20:55:59.673495,2026-06-07,20:55:59,webcam,person,[1],output/anomaly\alert_20260607_205559_6701.jpg
2026-06-07T20:56:02.799154,2026-06-07,20:56:02,webcam,person,[1],output/anomaly\alert_20260607_205602_7952.jpg
2026-06-07T20:56:05.832346,2026-06-07,20:56:05,webcam,person,[1],output/anomaly\alert_20260607_205605_8289.jpg
2026-06-07T20:58:00.964722,2026-06-07,20:58:00,webcam,person,[0],output/anomaly\alert_20260607_205800_9585.jpg
2026-06-07T20:58:04.063059,2026-06-07,20:58:04,webcam,person,[0],output/anomaly\alert_20260607_205804_0571.jpg
2026-06-07T20:58:07.085457,2026-06-07,20:58:07,webcam,person,[0],output/anomaly\alert_20260607_205807_0798.jpg
2026-06-07T20:58:10.128980,2026-06-07,20:58:10,webcam,person,[0],output/anomaly\alert_20260607_205810_1238.jpg
2026-06-07T20:58:16.405257,2026-06-07,20:58:16,webcam,person,[0],output/anomaly\alert_20260607_205816_4000.jpg
2026-06-13T21:00:56.238072,2026-06-13,21:00:56,webcam,person,[0],output/anomaly\alert_20260613_210056_2323.jpg
2026-06-13T21:00:59.725173,2026-06-13,21:00:59,webcam,person,[0],output/anomaly\alert_20260613_210059_7175.jpg
2026-06-13T21:01:02.783108,2026-06-13,21:01:02,webcam,person,[0],output/anomaly\alert_20260613_210102_7771.jpg
2026-06-13T21:01:10.253175,2026-06-13,21:01:10,webcam,person,[0],output/anomaly\alert_20260613_210110_2487.jpg
2026-06-13T21:01:16.102376,2026-06-13,21:01:16,webcam,person,[0],output/anomaly\alert_20260613_210116_0962.jpg
2026-06-13T21:01:19.396013,2026-06-13,21:01:19,webcam,person,[0],output/anomaly\alert_20260613_210119_3902.jpg
