timestamp,date,time,source,motion_count,image_path
2026-04-11T14:57:26.506305,2026-04-11,14:57:26,webcam,1,output/motion\motion_20260411_145726_5029.jpg
2026-04-11T14:57:28.511342,2026-04-11,14:57:28,webcam,2,output/motion\motion_20260411_145728_5067.jpg
2026-04-11T14:57:33.829547,2026-04-11,14:57:33,webcam,3,output/motion\motion_20260411_145733_8265.jpg
2026-04-11T14:58:04.958604,2026-04-11,14:58:04,webcam,4,output/motion\motion_20260411_145804_9529.jpg
2026-04-11T14:58:12.548060,2026-04-11,14:58:12,webcam,5,output/motion\motion_20260411_145812_5448.jpg
2026-04-11T14:58:15.421325,2026-04-11,14:58:15,webcam,6,output/motion\motion_20260411_145815_4181.jpg
2026-04-11T14:58:17.433046,2026-04-11,14:58:17,webcam,7,output/motion\motion_20260411_145817_4273.jpg
2026-06-06T18:36:51.730034,2026-06-06,18:36:51,webcam,1,output/motion\motion_20260606_183651_7218.jpg
2026-06-06T18:36:53.755713,2026-06-06,18:36:53,webcam,2,output/motion\motion_20260606_183653_7525.jpg
2026-06-06T18:36:55.772665,2026-06-06,18:36:55,webcam,3,output/motion\motion_20260606_183655_7693.jpg
2026-06-06T18:36:57.838247,2026-06-06,18:36:57,webcam,4,output/motion\motion_20260606_183657_8317.jpg
2026-06-06T18:36:59.854895,2026-06-06,18:36:59,webcam,5,output/motion\motion_20260606_183659_8509.jpg
2026-06-06T18:37:01.965187,2026-06-06,18:37:01,webcam,6,output/motion\motion_20260606_183701_9616.jpg
2026-06-06T18:37:03.985975,2026-06-06,18:37:03,webcam,7,output/motion\motion_20260606_183703_9828.jpg
2026-06-06T18:37:05.989967,2026-06-06,18:37:05,webcam,8,output/motion\motion_20260606_183705_9861.jpg
2026-06-06T18:37:08.737132,2026-06-06,18:37:08,webcam,9,output/motion\motion_20260606_183708_7168.jpg
2026-06-06T18:37:11.360767,2026-06-06,18:37:11,webcam,10,output/motion\motion_20260606_183711_3578.jpg
2026-06-06T18:37:13.399289,2026-06-06,18:37:13,webcam,11,output/motion\motion_20260606_183713_3939.jpg
